restaurant_id,rate,votes
32089,"""3.0 /5""",25
48146,"""3.6 /5""",79
38472,"""4.3 /5""",120
40254,"""2.7 /5""",268
40226,"""3.6 /5""",101
45673,"""3.4 /5""",12
6065,"""4.1/5""",1327
39190,"""4.1 /5""",99
14909,,0
23546,"""3.3/5""",6
16603,"""3.7/5""",34
23773,"""2.9/5""",42
13957,"""3.6/5""",14
32144,"""NEW""",0
31684,"""4.0 /5""",169
14388,,0
11660,,0
28942,"""4.3 /5""",83
39841,"""3.9 /5""",33
29477,"""4.3 /5""",286
5042,"""4.6/5""",2257
6124,"""4.2/5""",980
35347,"""3.9 /5""",475
26328,"""3.5 /5""",16
38805,"""4.1 /5""",171
37723,"""3.7 /5""",41
18613,"""4.0/5""",261
25120,"""3.4/5""",5
29959,"""4.5 /5""",3967
43703,"""3.1 /5""",5
44663,"""2.9 /5""",16
12258,,0
13467,"""3.8/5""",88
35506,"""2.9 /5""",42
15224,"""NEW""",0
34561,"""3.6 /5""",43
19496,"""3.9/5""",175
34957,"""3.8 /5""",92
9305,"""3.2/5""",908
24518,"""3.4/5""",7
50854,"""3.6 /5""",31
6557,"""3.9/5""",40
14626,"""4.0/5""",25
27718,,0
19148,"""3.8/5""",617
44503,"""4.1 /5""",147
10649,"""3.3/5""",5
26821,"""4.8/5""",187
10145,"""4.0/5""",87
38721,"""4.3 /5""",327
48461,"""3.9 /5""",56
30648,"""3.6 /5""",34
20544,,0
48961,"""2.8 /5""",122
38036,"""3.9 /5""",185
14931,"""4.0/5""",80
26412,"""3.4 /5""",5
42125,"""NEW""",0
24092,"""4.1/5""",98
8550,"""4.2/5""",450
36995,"""4.1 /5""",152
15782,"""4.2/5""",1873
29101,,0
44981,,0
28756,"""3.9 /5""",64
41151,"""4.0 /5""",157
28218,"""3.9/5""",110
2858,"""3.1/5""",6
34605,"""NEW""",0
4178,"""3.6/5""",13
50617,"""3.5 /5""",11
18771,"""3.6/5""",592
11938,"""4.0/5""",101
31254,"""4.4 /5""",362
47924,,0
7193,"""3.6/5""",32
13118,"""3.2/5""",41
15714,"""3.3/5""",6
10219,"""4.0 /5""",207
15869,"""3.7/5""",62
4135,,0
34138,"""3.4 /5""",34
42459,"""3.7 /5""",131
27929,,0
14808,"""4.1/5""",69
3068,"""-""",0
36511,"""3.5 /5""",15
41619,"""3.7 /5""",231
42830,"""3.8 /5""",24
47371,"""3.3 /5""",9
3901,"""3.5/5""",6
21159,"""3.1 /5""",6
35601,"""3.1 /5""",9
17245,"""3.1/5""",28
28988,"""3.8 /5""",18
2734,"""3.8/5""",53
27348,"""3.5/5""",5
9361,"""4.3/5""",62
12694,"""3.7/5""",66
8024,"""3.7/5""",14
4865,"""3.4/5""",68
32354,"""3.7 /5""",185
34640,"""3.3 /5""",6
26394,"""3.2 /5""",11
378,"""3.6/5""",15
30227,,0
48311,"""2.9 /5""",75
5029,"""3.9/5""",156
7433,"""3.6/5""",42
8579,"""4.2/5""",174
46480,,0
46617,"""3.3 /5""",20
12339,"""4.3/5""",1708
3954,"""3.2/5""",13
18859,"""3.1/5""",668
30013,,0
27448,"""3.7/5""",61
37293,"""2.8 /5""",102
50122,"""3.7 /5""",106
46521,"""3.5 /5""",37
16306,"""4.0/5""",572
32973,,0
50301,"""4.7 /5""",277
49453,"""4.1 /5""",111
14867,"""3.2/5""",35
38689,"""4.4 /5""",127
50012,"""3.3 /5""",6
28875,"""3.2 /5""",4
8683,"""3.6/5""",41
3083,"""4.0/5""",1047
10343,,0
29109,,0
51438,,0
25945,,0
40715,"""3.5 /5""",8
4101,"""3.1/5""",25
11480,"""3.9/5""",1388
27298,"""3.1/5""",4
2290,"""3.7/5""",98
12780,"""3.9/5""",158
46191,"""3.5 /5""",250
30571,"""NEW""",0
25510,,0
45545,"""4.7 /5""",2174
25671,"""3.3/5""",6
26627,"""3.6/5""",42
2387,,0
40533,"""2.9 /5""",51
22182,"""3.8/5""",61
11669,"""4.7/5""",4677
4648,"""2.7/5""",33
32303,"""3.9 /5""",66
12020,"""3.9/5""",38
41631,"""3.6 /5""",56
17664,"""3.8/5""",61
5657,"""4.1/5""",356
18727,"""4.3/5""",391
38382,"""NEW""",0
51382,"""NEW""",0
18054,"""3.7/5""",30
15753,"""4.0/5""",580
2443,"""3.5/5""",31
20769,,0
32500,"""4.2 /5""",1155
9234,"""3.1/5""",28
26148,"""4.0 /5""",170
2221,"""3.6/5""",19
11549,"""4.3/5""",152
18876,"""3.0/5""",21
47719,"""3.4 /5""",7
6920,"""3.3/5""",7
36852,,0
13550,"""4.0/5""",92
20795,"""NEW""",0
35078,"""2.9 /5""",67
278,"""4.1/5""",1875
13968,,0
49638,"""3.9 /5""",1228
17714,"""4.1/5""",57
35758,,0
43266,"""4.2 /5""",643
32631,"""4.1 /5""",134
2417,"""3.7/5""",28
48210,"""4.1 /5""",1750
49029,,0
13220,"""4.2/5""",3119
16966,"""NEW""",0
5413,"""3.9/5""",186
15856,"""3.7/5""",46
34529,"""3.5 /5""",39
21973,"""3.2/5""",19
45251,"""3.2 /5""",17
17770,"""4.4/5""",535
27389,"""4.0/5""",758
5379,"""4.2/5""",121
47805,"""3.5 /5""",47
20554,"""2.7/5""",39
12108,"""3.8/5""",106
22990,"""4.3/5""",134
50796,,0
12854,,0
29286,"""4.4 /5""",1808
22822,"""3.2/5""",9
50600,"""3.4 /5""",7
50583,"""3.9 /5""",299
18248,,0
22896,,0
47488,"""3.9 /5""",150
9113,"""3.7/5""",37
25525,"""3.5/5""",13
5977,"""3.9/5""",122
9634,"""NEW""",0
20696,"""3.2/5""",63
49804,,0
44082,"""3.8 /5""",20
51098,"""4.1 /5""",869
26553,"""4.0/5""",67
13822,"""3.1/5""",6
1486,"""NEW""",0
15340,"""3.4/5""",11
15861,,0
19042,,0
46012,,0
25728,"""NEW""",0
1373,"""NEW""",0
1210,"""3.2/5""",144
43998,"""3.3 /5""",7
51503,"""2.6 /5""",41
46776,"""3.4 /5""",590
37377,,0
35024,"""4.3 /5""",342
50233,"""3.7 /5""",38
11800,"""3.8/5""",54
9228,"""3.5/5""",15
19800,"""3.7/5""",11
41186,"""3.6 /5""",94
36541,,0
9183,"""3.7/5""",37
25354,"""3.9/5""",190
11169,"""3.6/5""",97
41920,"""NEW""",0
47308,"""3.8 /5""",74
47121,"""3.2 /5""",4
6693,"""4.2/5""",2270
23885,"""4.3/5""",191
385,"""3.3/5""",4
18660,"""4.4/5""",953
24913,"""3.5/5""",12
46203,"""4.1 /5""",344
1689,,0
42901,"""3.9 /5""",31
35441,"""3.1 /5""",54
36785,"""3.8 /5""",661
4477,"""3.6/5""",18
15551,,0
8036,"""2.8/5""",89
48987,"""3.2 /5""",13
33233,,0
39745,"""3.8 /5""",161
14078,"""NEW""",0
22745,"""3.7/5""",246
36124,,0
8289,"""4.3/5""",104
30310,,0
37768,"""3.7 /5""",145
6980,"""3.7/5""",32
1664,"""3.6/5""",43
22015,"""3.9/5""",152
46234,"""3.4 /5""",9
41701,"""3.4 /5""",37
43708,"""3.6 /5""",16
16873,"""3.7/5""",34
11609,"""4.1/5""",526
35328,"""3.9 /5""",113
29633,"""3.2 /5""",64
16012,"""NEW""",0
27562,"""NEW""",0
7119,"""4.3/5""",627
6578,,0
4232,,0
17488,"""4.2/5""",1884
20990,"""4.1/5""",91
24784,"""4.0/5""",89
21923,"""3.4/5""",13
35407,"""3.6 /5""",90
13810,"""3.5/5""",12
37114,"""3.9 /5""",207
19638,"""3.6/5""",382
46245,"""3.9 /5""",182
29979,"""3.7 /5""",291
7309,,0
13947,"""3.7/5""",28
24142,,0
18384,"""3.5/5""",5
34554,"""3.1 /5""",53
4854,"""3.3/5""",213
29281,"""4.4 /5""",459
35948,"""3.8 /5""",72
42055,"""3.2 /5""",24
37715,"""4.1 /5""",309
11298,"""3.5/5""",13
5922,,0
33428,"""-""",0
11990,"""3.3/5""",13
27512,"""3.6/5""",50
21014,"""3.8/5""",47
35647,"""3.6 /5""",18
16644,"""2.8/5""",188
38493,"""3.9 /5""",103
3641,"""3.3/5""",8
6233,"""3.7/5""",293
6179,"""2.8/5""",109
18421,,0
18230,"""3.4/5""",5
36331,"""3.1 /5""",17
29511,"""3.6 /5""",218
50812,,0
3812,"""4.4/5""",278
18199,"""3.9/5""",71
49856,"""3.8 /5""",373
48670,"""2.9 /5""",56
33724,"""3.6 /5""",37
1170,"""3.2/5""",18
15813,"""4.0/5""",128
26489,"""4.4/5""",9064
8154,,0
40720,"""3.8 /5""",46
15387,,0
227,"""3.8/5""",70
43045,"""3.4 /5""",27
9918,"""3.3/5""",9
12308,,0
40836,,0
37786,"""3.8 /5""",261
26072,"""3.9 /5""",57
10908,"""3.9/5""",682
3534,"""3.9/5""",888
9505,"""3.9/5""",450
36553,,0
18398,"""3.0/5""",10
6653,"""3.5/5""",29
21008,,0
18314,"""3.7/5""",16
40672,"""4.1 /5""",99
6950,"""3.9/5""",191
32108,"""4.5 /5""",3163
26742,"""4.1/5""",129
38214,"""3.4 /5""",7
30601,"""3.5 /5""",8
11731,"""4.6/5""",2492
50438,"""3.4 /5""",252
28161,"""4.0/5""",152
33813,"""4.1 /5""",602
18008,"""NEW""",0
31762,"""4.0 /5""",213
18111,"""4.0/5""",1072
41608,"""3.8 /5""",759
35890,"""3.2 /5""",4
5668,"""3.9/5""",52
19168,"""2.9/5""",18
8904,"""3.4/5""",15
2490,"""3.8/5""",918
29140,"""3.7 /5""",27
30342,"""4.0 /5""",1113
25162,"""3.6/5""",104
20289,"""3.4/5""",24
14776,"""4.0/5""",85
16446,"""3.3/5""",84
33177,"""3.4 /5""",10
50005,,0
26662,"""3.7/5""",216
51173,"""3.9 /5""",35
